Brand=["Mekhala"],Reporting Range=["Monthly"],Select year=["2023"],Select month=["September"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"curry tiomato paste","618","2","50","4","8.0","2","100.0","1","50.0","7.99","7.99","0","2","0","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"organic lemon","742","8539","197463","499","0.25","5753","67.37","2","0.03","1.39","6.49","6","41","30","5250","61.48","1","0.02","1.39","7.39","3","16","13","2674","31.32","0","0.0","1.39",,"2","2","4","2023-09-30"
"yellow curry paste thai kitchen","364","23","491","31","6.31","7","30.43","3","42.86","7.99","7.99","0","2","4","2","8.7","2","100.0","7.99","7.99","0","0","2","1","4.35","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"vegan red curry paste","396","112","3578","222","6.2","78","69.64","2","2.56","11.91","6.49","2","41","24","28","25.0","1","3.57","11.91","7.99","2","13","9","12","10.71","1","8.33","11.91","7.99","0","6","5","2023-09-30"
"thai basil leaves","835","868","22562","462","2.05","353","40.67","3","0.85","9.99","7.99","5","73","85","155","17.86","0","0.0","9.99",,"1","33","36","56","6.45","0","0.0","9.99",,"0","17","16","2023-09-30"
"wild caught shrimp","774","3761","79396","608","0.77","1839","48.9","2","0.11","10.99","6.49","0","2","2","966","25.68","0","0.0","10.99",,"0","0","0","374","9.94","0","0.0","10.99",,"0","0","0","2023-09-30"
"curry paste red","157","55","1290","45","3.49","20","36.36","6","30.0","6.49","6.49","0","7","4","13","23.64","6","46.15","6.49","6.49","0","3","3","4","7.27","2","50.0","6.49","6.49","0","0","1","2023-09-30"
"zuchhini","899","2609","54735","449","0.82","1332","51.05","0","0.0","1.59",,"0","0","0","1126","43.16","0","0.0","1.59",,"0","0","0","621","23.8","0","0.0","1.75",,"0","0","0","2023-09-30"
"gluten free pastina","871","5065","103384","479","0.46","2841","56.09","0","0.0","18.76",,"55","783","1113","584","11.53","0","0.0","13.99",,"19","194","222","136","2.69","0","0.0","17.63",,"4","61","45","2023-09-30"
"ginger paste in a tube","298","1276","33112","552","1.67","537","42.08","2","0.37","9.0","7.99","11","132","170","257","20.14","1","0.39","8.97","7.99","5","67","90","107","8.39","1","0.93","9.0","7.99","3","27","39","2023-09-30"
"kosher curry paste","836","122","3185","238","7.47","84","68.85","9","10.71","17.95","18.95","2","36","22","22","18.03","0","0.0","17.95",,"0","7","4","9","7.38","0","0.0","17.95",,"0","3","0","2023-09-30"
"curry ptaste","683","1","33","1","3.03","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"miso paste vegan","306","170","4444","134","3.02","75","44.12","4","5.33","12.23","7.99","1","22","25","36","21.18","2","5.56","10.05","7.99","1","11","12","9","5.29","1","11.11","10.0","7.99","0","3","4","2023-09-30"
"yam","849","6054","129333","233","0.18","1448","23.92","1","0.07","11.0","6.99","11","62","50","802","13.25","1","0.12","4.19","6.99","4","22","13","368","6.08","0","0.0","3.76",,"0","5","2","2023-09-30"
"butter chicken masala","484","221","5718","59","1.03","98","44.34","1","1.02","14.99","7.99","4","24","37","27","12.22","1","3.7","10.43","7.99","0","6","10","10","4.52","1","10.0","7.49","7.99","0","2","4","2023-09-30"
"chili paste green","643","3","57","3","5.26","1","33.33","1","100.0","7.29","7.29","0","0","1","1","33.33","1","100.0","7.29","7.29","0","0","1","1","33.33","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"curry","9","32494","773471","11369","1.47","10310","31.73","215","2.09","5.99","6.49","612","2118","1638","5653","17.4","134","2.37","5.49","6.49","310","988","707","2331","7.17","62","2.66","5.49","6.49","130","455","299","2023-09-30"
"kosher red curry paste","954","119","2854","133","4.66","89","74.79","7","7.87","14.19","7.29","5","42","15","14","11.76","0","0.0","17.95",,"1","2","1","8","6.72","0","0.0","17.95",,"1","0","0","2023-09-30"
"ginger miso sauce","189","153","3241","104","3.21","57","37.25","5","8.77","7.99","7.99","0","6","12","20","13.07","3","15.0","7.99","7.99","0","3","4","9","5.88","2","22.22","7.99","7.99","0","2","0","2023-09-30"
"kroeung paste","935","24","566","77","13.6","13","54.17","2","15.38","14.95","7.99","0","5","6","5","20.83","1","20.0","14.95","7.99","0","4","1","1","4.17","0","0.0","14.95",,"0","0","1","2023-09-30"
"mae ploy yellow curry","980","52","1378","39","2.83","31","59.62","2","6.45","8.08","7.29","0","16","10","19","36.54","1","5.26","7.99","7.29","0","9","6","4","7.69","0","0.0","7.99",,"0","2","1","2023-09-30"
"thai spice","186","335","8266","208","2.52","131","39.1","4","3.05","8.49","6.49","3","49","36","60","17.91","3","5.0","8.49","6.49","2","19","15","33","9.85","2","6.06","8.49","6.49","2","10","7","2023-09-30"
"yai's thai","404","374","8521","203","2.38","173","46.26","2","1.16","8.99","6.49","0","17","18","54","14.44","1","1.85","8.99","6.49","0","11","8","8","2.14","1","12.5","9.49","6.49","0","0","1","2023-09-30"
"asian stir fry vegetables","468","291","6953","75","1.08","151","51.89","1","0.66","4.19","6.49","0","1","3","92","31.62","1","1.09","4.19","6.49","0","0","0","38","13.06","1","2.63","4.19","6.49","0","0","0","2023-09-30"
"hoisin sauce gluten free","892","611","16148","128","0.79","397","64.98","2","0.5","7.99","6.49","12","123","110","223","36.5","1","0.45","7.99","7.99","8","75","61","90","14.73","0","0.0","8.69",,"2","31","24","2023-09-30"
"pho seasoning","962","1824","41499","90","0.22","937","51.37","1","0.11","9.53","6.49","23","281","408","385","21.11","1","0.26","9.53","6.49","7","115","172","118","6.47","0","0.0","9.52",,"2","45","51","2023-09-30"
"scallion ginger sauce","322","21","741","22","2.97","8","38.1","6","75.0","7.99","7.99","0","5","2","3","14.29","2","66.67","7.99","7.99","0","3","0","1","4.76","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"curry sauces","84","3102","63425","1285","2.03","1388","44.75","17","1.22","5.66","6.49","0","7","6","853","27.5","8","0.94","5.48","6.49","0","1","4","428","13.8","4","0.93","5.29","6.49","0","0","1","2023-09-30"
"laksa paste malaysian","359","59","1347","73","5.42","32","54.24","2","6.25","12.55","7.89","0","10","9","14","23.73","2","14.29","7.97","7.89","0","4","3","5","8.47","1","20.0","7.97","7.89","0","4","0","2023-09-30"
"maeseri","589","11","247","6","2.43","4","36.36","1","25.0","6.99","6.49","0","2","0","2","18.18","1","50.0","6.49","6.49","0","1","0","1","9.09","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"miso paste","60","35801","877881","6143","0.7","16527","46.16","20","0.12","10.0","7.39","805","5062","4316","9451","26.4","9","0.1","9.99","7.29","482","2808","2333","3729","10.42","0","0.0","9.99",,"221","1253","888","2023-09-30"
"organic tikka masala sauce","912","68","1672","100","5.98","41","60.29","2","4.88","8.56","6.49","1","8","12","13","19.12","1","7.69","5.39","6.49","0","2","3","4","5.88","0","0.0","5.39",,"0","2","2","2023-09-30"
"turmeric ground","276","1859","40476","1132","2.8","1137","61.16","3","0.26","4.19","6.99","17","66","46","986","53.04","2","0.2","3.99","6.99","13","46","29","478","25.71","0","0.0","3.99",,"6","17","8","2023-09-30"
"galangal paste","337","317","8097","294","3.63","122","38.49","16","13.11","9.12","7.99","6","41","29","59","18.61","2","3.39","9.12","7.99","0","25","17","27","8.52","0","0.0","9.15",,"0","11","9","2023-09-30"
"mae anong yellow curry paste","473","25","568","31","5.46","21","84.0","2","9.52","9.7","6.49","1","4","12","10","40.0","1","10.0","9.7","6.49","1","3","5","5","20.0","1","20.0","9.7","7.99","0","1","4","2023-09-30"
"malaysia laksa","585","8","189","7","3.7","8","100.0","1","12.5","15.32","7.89","0","1","5","2","25.0","1","50.0","7.89","7.89","0","1","1","1","12.5","1","100.0","7.89","7.89","0","1","0","2023-09-30"
"tumeric power","792","470","9906","348","3.51","215","45.74","1","0.47","5.79","7.39","3","21","11","165","35.11","1","0.61","5.49","7.39","1","11","8","69","14.68","0","0.0","5.49",,"1","3","3","2023-09-30"
"turmeric and lemongrass","971","3","99","9","9.09","6","200.0","3","50.0","6.49","6.49","0","3","1","1","33.33","1","100.0","6.49","6.49","0","1","0","0","0.0","0",,,,"0","0","0","2023-09-30"
"thai curry paste set","663","3","57","2","3.51","2","66.67","1","50.0","21.49","36.99","0","0","0","1","33.33","1","100.0","36.99","36.99","0","0","0","1","33.33","1","100.0","36.99","36.99","0","0","0","2023-09-30"
"purple onions pickled","679","3","92","1","1.09","1","33.33","1","100.0","6.49","6.49","0","0","0","1","33.33","1","100.0","6.49","6.49","0","0","0","1","33.33","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"cornstarch","890","34274","798330","459","0.06","16354","47.72","0","0.0","3.99",,"1274","4204","3216","11730","34.22","0","0.0","3.99",,"991","3012","2041","4106","11.98","0","0.0","3.99",,"444","1229","637","2023-09-30"
"lemon grass fresh organic","325","107","2091","78","3.73","41","38.32","4","9.76","2.99","6.49","0","0","0","35","32.71","2","5.71","2.69","6.49","0","0","0","20","18.69","1","5.0","2.69","7.29","0","0","0","2023-09-30"
"organic laska paste","610","1","19","4","21.05","1","100.0","1","100.0","7.89","7.89","0","1","0","1","100.0","1","100.0","7.89","7.89","0","1","0","1","100.0","1","100.0","7.89","7.89","0","1","0","2023-09-30"
"taih basil","670","2","79","2","2.53","2","100.0","1","50.0","7.99","7.99","0","1","0","2","100.0","1","50.0","7.99","7.99","0","1","0","2","100.0","1","50.0","7.99","7.99","0","1","0","2023-09-30"
"mikes organic curry paste","861","62","1515","134","8.84","48","77.42","3","6.25","29.99","7.39","0","4","17","15","24.19","1","6.67","29.99","7.39","0","2","6","5","8.06","0","0.0","29.99",,"0","1","1","2023-09-30"
"furikake","763","34375","869059","404","0.05","18662","54.29","2","0.01","7.24","6.49","569","5460","7055","9652","28.08","1","0.01","6.41","7.39","304","2853","3580","3925","11.42","0","0.0","6.6",,"137","1273","1441","2023-09-30"
"indonesian curry","979","31","648","39","6.02","15","48.39","2","13.33","14.99","19.39","0","3","6","8","25.81","1","12.5","8.86","26.69","0","0","4","0","0.0","0",,,,"0","0","0","2023-09-30"
"organic pizza sauce","758","1288","31134","164","0.53","826","64.13","2","0.24","2.99","6.49","30","67","58","625","48.52","2","0.32","2.69","6.49","17","37","22","299","23.21","0","0.0","2.49",,"10","14","11","2023-09-30"
"curry paste mild","427","48","949","66","6.95","17","35.42","3","17.65","9.07","6.49","1","5","2","6","12.5","1","16.67","6.49","6.49","0","0","1","3","6.25","1","33.33","6.49","6.49","0","0","1","2023-09-30"
"mekhala organic gluten-free thai basil garlic","586","1","20","7","35.0","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"thai kitchencurry paste","708","1","20","1","5.0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"red onion","123","108697","2237593","4041","0.18","70987","65.31","1","0.0","1.39","6.49","7","40","23","66029","60.75","0","0.0","1.19",,"3","14","8","36373","33.46","0","0.0","1.37",,"1","2","3","2023-09-30"
"dried thai basil","155","211","6204","177","2.85","122","57.82","11","9.02","9.99","7.99","1","44","41","40","18.96","5","12.5","9.99","7.99","0","13","17","23","10.9","2","8.7","11.95","7.99","0","9","10","2023-09-30"
"mild thai curry paste","412","29","838","51","6.09","25","86.21","5","20.0","8.08","7.39","0","13","6","1","3.45","1","100.0","7.99","7.99","0","1","0","1","3.45","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"tom yom paste","808","5","218","15","6.88","4","80.0","2","50.0","6.98","6.49","0","2","2","3","60.0","2","66.67","7.39","6.49","0","2","1","0","0.0","0",,,,"0","0","0","2023-09-30"
"bouillon cube","391","5063","121007","292","0.24","2122","41.91","1","0.05","7.22","6.49","39","394","446","1127","22.26","1","0.09","6.03","6.49","20","167","201","485","9.58","1","0.21","5.69","6.49","13","69","87","2023-09-30"
"radishes fresh organic","395","687","14989","268","1.79","486","70.74","1","0.21","2.49","6.49","0","1","0","450","65.5","1","0.22","2.49","6.49","0","0","0","246","35.81","1","0.41","2.49","6.49","0","0","0","2023-09-30"
"red curry pste","518","3","73","4","5.48","4","133.33","2","50.0","6.49","6.49","0","0","1","3","100.0","1","33.33","7.39","6.49","0","0","1","1","33.33","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"paleo curry","559","16","350","14","4.0","12","75.0","1","8.33","8.86","6.49","0","0","5","5","31.25","1","20.0","7.99","6.49","0","0","1","4","25.0","1","25.0","6.49","6.49","0","0","0","2023-09-30"
"mekhala lemon grass curry paste","653","2","11","2","18.18","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"tom yum noodle paste","640","1","20","3","15.0","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"asian style sauteed aromatics","207","21","511","38","7.44","5","23.81","4","80.0","7.99","7.99","0","2","3","3","14.29","3","100.0","7.99","7.99","0","2","1","2","9.52","2","100.0","7.99","7.99","0","2","0","2023-09-30"
"curry paste vegan","441","36","849","117","13.78","16","44.44","1","6.25","11.93","6.39","0","5","5","7","19.44","1","14.29","8.39","6.39","0","1","2","5","13.89","1","20.0","7.99","6.39","0","1","0","2023-09-30"
"lemongrass food","374","16","295","10","3.39","4","25.0","3","75.0","6.49","6.49","0","2","1","2","12.5","2","100.0","6.49","6.49","0","2","0","1","6.25","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"miso ginger sauce","908","41","947","34","3.59","18","43.9","4","22.22","8.75","7.99","0","7","5","5","12.2","1","20.0","8.69","7.99","0","2","0","2","4.88","0","0.0","11.72",,"0","1","0","2023-09-30"
"kevins","208","12176","249374","731","0.29","5877","48.27","4","0.07","10.99","6.49","8","93","124","4011","32.94","3","0.07","10.99","6.99","4","30","34","1797","14.76","1","0.06","10.99","6.49","1","9","10","2023-09-30"
"chili paste","55","14429","346286","5121","1.48","4210","29.18","30","0.71","8.33","7.99","310","1177","827","1968","13.64","6","0.3","7.89","6.49","187","557","381","854","5.92","3","0.35","6.99","6.49","97","277","142","2023-09-30"
"tandoori seasoning","527","1453","35608","36","0.1","733","50.45","1","0.14","8.99","6.49","45","332","259","335","23.06","1","0.3","8.99","6.49","27","160","110","149","10.25","1","0.67","7.99","6.49","13","79","49","2023-09-30"
"ginger paste","63","9930","240875","4342","1.8","3598","36.23","21","0.58","7.49","7.99","67","785","705","2237","22.53","9","0.4","5.79","7.99","51","430","343","968","9.75","2","0.21","5.79","7.99","23","202","138","2023-09-30"
"umami ginger sauce hello fresh","462","103","2586","88","3.4","51","49.51","1","1.96","6.99","7.99","1","21","20","17","16.5","1","5.88","6.99","7.99","0","8","8","6","5.83","1","16.67","6.99","7.99","0","3","3","2023-09-30"
"organic vindaloo simmer","652","4","76","3","3.95","2","50.0","1","50.0","5.39","7.89","1","0","1","1","25.0","1","100.0","7.89","7.89","0","0","1","1","25.0","1","100.0","7.93","7.93","0","0","1","2023-09-30"
"umami sauce","841","1741","42221","440","1.04","608","34.92","3","0.49","9.22","7.99","36","191","250","237","13.61","0","0.0","8.99",,"14","80","94","84","4.82","0","0.0","7.99",,"6","33","30","2023-09-30"
"lemon grass","25","9875","232306","5171","2.23","3424","34.67","75","2.19","7.99","6.49","86","957","831","1560","15.8","44","2.82","6.45","6.49","36","418","348","616","6.24","15","2.44","6.45","6.49","17","167","122","2023-09-30"
"vindaloo","141","1086","26793","656","2.45","483","44.48","13","2.69","8.99","7.89","10","78","118","233","21.45","7","3.0","7.79","7.89","5","37","44","78","7.18","1","1.28","8.25","7.89","2","17","15","2023-09-30"
"beets cooked","278","900","18847","376","2.0","468","52.0","4","0.85","4.99","6.49","0","3","5","385","42.78","2","0.52","4.99","6.49","0","3","2","219","24.33","1","0.46","4.99","6.49","0","2","0","2023-09-30"
"kimchi paste","472","993","22380","69","0.31","475","47.83","1","0.21","9.99","6.49","14","107","161","196","19.74","1","0.51","9.99","6.49","5","48","66","59","5.94","1","1.69","9.99","6.49","1","15","18","2023-09-30"
"ramen","89","369418","8574141","3156","0.04","120123","32.52","8","0.01","11.79","6.49","8782","26300","25230","52060","14.09","6","0.01","7.36","6.49","4084","9336","7701","20289","5.49","2","0.01","7.36","6.49","2055","3972","2630","2023-09-30"
"broth","445","36331","770213","109","0.01","10830","29.81","1","0.01","3.69","6.49","515","1391","943","7785","21.43","1","0.01","3.29","6.49","332","744","436","3272","9.01","1","0.03","3.19","6.49","172","314","137","2023-09-30"
"chicken broth","299","109125","2426175","290","0.01","64969","59.54","2","0.0","3.29","6.49","1888","4905","3085","55164","50.55","2","0.0","3.17","6.49","1394","3298","1976","28136","25.78","1","0.0","3.29","7.29","689","1668","887","2023-09-30"
"lemongrass curry","986","17","478","34","7.11","11","64.71","2","18.18","10.99","7.89","0","3","3","4","23.53","1","25.0","5.99","7.89","0","2","0","3","17.65","0","0.0","5.99",,"0","1","0","2023-09-30"
"organic massaman curry paste","516","12","353","41","11.61","13","108.33","1","7.69","12.99","7.99","0","2","6","3","25.0","1","33.33","7.99","7.99","0","0","2","1","8.33","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"vegan broth","719","1474","32468","561","1.73","696","47.22","4","0.57","5.79","6.49","24","113","117","365","24.76","1","0.27","5.49","7.99","8","59","41","135","9.16","0","0.0","5.39",,"4","17","10","2023-09-30"
"organic tum yumpaste","590","1","54","6","11.11","1","100.0","1","100.0","26.33","26.33","0","1","0","1","100.0","1","100.0","26.33","26.33","0","1","0","1","100.0","1","100.0","26.33","26.33","0","1","0","2023-09-30"
"red cuery","680","1","19","1","5.26","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","1","100.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
